Number_QPs,Precision,Recall,F1,Time
10,0.9416666666666667,0.9,0.9083333333333332,0 days 00:00:00.165335000
8,0.8791666666666667,0.8875,0.8441666666666666,0 days 00:00:00.157343000
9,0.8791666666666667,0.9,0.8191666666666666,0 days 00:00:00.151555000
7,0.7416666666666666,0.7875,0.7391666666666665,0 days 00:00:00.128691000
6,0.7583333333333333,0.775,0.7191666666666666,0 days 00:00:00.119503000
5,0.5208333333333334,0.675,0.6749999999999999,0 days 00:00:00.126945000
4,0.548611111111111,0.6041666666666666,0.5226851851851851,0 days 00:00:00.110335000
2,0.5520833333333333,0.5,0.48958333333333326,0 days 00:00:00.091874000
3,0.44791666666666663,0.53125,0.39166666666666666,0 days 00:00:00.147183000
